CHAT_DETAILS_ID,MESSAGE,READ,SEND_BY_U1,SEND_DATE
CD-000000006,Random,true,false,2020-12-06 09:23:05
CD-000000007,Good Morning have a great day ahead,true,false,2020-12-06 11:42:50
CD-000000008,Let my prayer be the key to open your day,false,false,2020-12-05 01:45:30
CD-000000009,byebye,true,false,2020-12-04 11:46:09
CD-000000010,have a nice day,true,true,2020-12-04 02:00:05
CD-000000011,may you have a nice day,true,false,2020-12-04 05:49:28
CD-000000012,what up?,false,true,2020-12-05 06:50:10
CD-000000013,Good morning,false,true,2020-12-05 03:50:58
CD-000000014,Where can I take you?,true,false,2020-12-05 11:52:07
CD-000000015,What's your destination?,true,true,2020-12-06 11:52:43
CD-000000016,Are you in a hurry?,true,false,2020-12-05 03:53:07
CD-000000017,It will take about 15 minutes.,true,true,2020-12-04 12:00:32
CD-000000018,What's your destination?,true,false,2020-12-06 11:54:29
CD-000000019,It is faster to take the expressway but you have to pay the toll.,false,false,2020-12-06 11:54:44
CD-000000020,Yes<comal> I understand. I'll take you there.,true,false,2020-12-05 02:55:01
CD-000000021,There's a traffic jam,true,false,2020-12-04 01:55:43
CD-000000022,It takes about one hour to get there,true,false,2020-12-04 11:56:31
CD-000000023,Thank you for the tip.,false,true,2020-12-03 11:57:11
CD-000000024,Please wait for me.,true,true,2020-12-04 08:57:44
CD-000000025,You can keep the meter running,true,false,2020-12-03 05:58:20
CD-000000026,No problem.,true,false,2020-12-03 11:58:50
CD-000000027,No smoking<comal> please.,true,true,2020-12-06 11:59:12
CD-000000028,I'll put your luggage in the boot,true,false,2020-12-03 06:59:34
CD-000000029,I'll try a different way.,true,false,2020-12-02 12:00:10
CD-000000030,It is pretty far away.,false,true,2020-12-07 12:01:01
CD-000000031,The customer pays for the expressway<comal> OK?,true,false,2020-12-02 04:01:40
CD-000000032,The traffic is bad over there. You'll get there faster if you walk from here.,true,false,2020-12-01 12:02:08
CD-000000033,Thanks for the ride,false,true,2020-12-01 12:02:32
CD-000000034,I'm in a bit of a rush.,true,false,2020-12-01 12:02:53
CD-000000035,Haha,false,false,2020-12-07 06:48:32
CD-000000036,Boss,false,false,2020-12-07 06:56:32
CD-000000037,Oii,false,false,2020-12-07 07:00:23
CD-000000038,Boos,false,false,2020-12-07 07:04:54
CD-000000039,Oii wan yeh,false,false,2020-12-07 07:06:28
CD-000000040,Oii wan yehFuck you,false,false,2020-12-07 07:07:17
CD-000000041,Oii Boss got free ma,false,false,2020-12-07 07:09:13
CD-000000042,GG,false,false,2020-12-07 07:12:45
CD-000000043,Dai lou dont play play program got error,false,false,2020-12-07 07:14:07
CD-000000044,No program cannot run,false,false,2020-12-07 07:14:18
CD-000000045,Wa MCO main main ah,false,false,2020-12-07 07:14:32
CD-000000046,Sad Lo,false,true,2020-12-07 07:15:54
CD-000000047,Prgram got many error do want booking liao,false,true,2020-12-07 07:16:15
CD-000000091,Hi,false,true,2020-12-07 09:18:08
CD-000000092,Ha,false,false,2020-12-07 11:39:45
CD-000000093,Hehe,false,false,2020-12-07 11:39:52
CD-000000094,Hah,false,true,2020-12-07 11:41:13
CD-000000095,No gg liao ?,false,false,2020-12-07 11:41:24
CD-000000096,Hi,false,false,2020-12-08 02:28:07
CD-000000097,Hi,false,true,2020-12-08 02:28:42
CD-000000098,Try try,false,true,2020-12-08 02:46:48
CD-000000099,Lagi,false,true,2020-12-08 02:48:00
CD-000000100,Lagi lagi,false,true,2020-12-08 02:48:05
CD-000000101,Oi macam no error liao,false,false,2020-12-08 03:20:26
CD-000000102,Wa,false,false,2020-12-08 03:20:33
CD-000000103,Bes,false,false,2020-12-08 03:20:37
CD-000000104,Hehe,false,true,2020-12-09 12:05:57
CD-000000105,H,false,false,2020-12-09 12:06:04
CD-000000106,GG,false,false,2020-12-09 12:06:09
CD-000000107,Huhu,false,true,2020-12-09 12:06:16
CD-000000108,Lidd,false,true,2020-12-09 06:30:18
CD-000000109,Xusfe,false,false,2020-12-09 06:31:06
CD-000000110,Faster mati liao,false,false,2020-12-09 06:31:14
